epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,362.583,0.85215,1.44854,1.24824,0.96372,0.9,0.98591,0.36782,1.87266,2.01427,2.72988,0.000752376,0.000752376,0.000752376
45,370.863,1.00083,2.17226,1.35729,0.96372,0.9,0.98591,0.36782,1.87266,2.01427,2.72988,0.000746176,0.000746176,0.000746176
46,379.139,0.7793,1.28657,1.01218,0.98058,1,0.995,0.41411,1.84423,1.72206,2.74993,0.00073892,0.00073892,0.00073892
47,387.322,0.77775,1.21408,1.17042,0.98058,1,0.995,0.41411,1.84423,1.72206,2.74993,0.000730608,0.000730608,0.000730608
48,395.845,1.21115,1.27133,1.16115,0.9915,1,0.995,0.43972,1.84296,1.53691,2.91135,0.00072124,0.00072124,0.00072124
49,403.96,1.03199,1.23236,1.13072,0.9915,1,0.995,0.43972,1.84296,1.53691,2.91135,0.000710816,0.000710816,0.000710816
50,412.277,1.23452,1.41788,1.37203,0.88199,0.9,0.85132,0.3959,1.81349,1.5104,2.99719,0.000699336,0.000699336,0.000699336
51,420.757,0.75114,1.13459,1.02359,0.88199,0.9,0.85132,0.3959,1.81349,1.5104,2.99719,0.00068,0.00068,0.00068
52,429.432,0.60937,1.24626,1.16588,0.98314,1,0.995,0.44178,1.78837,1.57489,2.96347,0.0006536,0.0006536,0.0006536
53,437.445,1.32735,1.75636,1.24347,0.98314,1,0.995,0.44178,1.78837,1.57489,2.96347,0.0006272,0.0006272,0.0006272
54,445.805,0.98407,1.13587,1.07596,0.98995,1,0.995,0.44347,1.83119,1.61683,3.09083,0.0006008,0.0006008,0.0006008
55,454.134,0.65816,1.3531,0.97809,0.98995,1,0.995,0.44347,1.83119,1.61683,3.09083,0.0005744,0.0005744,0.0005744
56,462.46,1.17787,1.45416,1.21591,0.99381,1,0.995,0.46954,1.86712,1.62401,3.12043,0.000548,0.000548,0.000548
57,470.58,0.68607,1.01239,1.11242,0.99381,1,0.995,0.46954,1.86712,1.62401,3.12043,0.0005216,0.0005216,0.0005216
58,478.918,0.71857,1.20668,1.05769,0.99346,1,0.995,0.48951,1.82686,1.57327,3.08987,0.0004952,0.0004952,0.0004952
59,486.828,0.66241,0.89883,0.95372,0.99346,1,0.995,0.48951,1.82686,1.57327,3.08987,0.0004688,0.0004688,0.0004688
60,495.231,1.02337,1.23247,1.43785,0.99266,1,0.995,0.48784,1.74868,1.51527,3.02927,0.0004424,0.0004424,0.0004424
61,503.178,0.68499,1.01381,1.03549,0.99266,1,0.995,0.48784,1.74868,1.51527,3.02927,0.000416,0.000416,0.000416
62,511.311,0.9172,1.10225,1.06086,0.99339,1,0.995,0.52146,1.68391,1.39055,2.86742,0.0003896,0.0003896,0.0003896
63,519.576,0.89276,0.89334,1.08257,0.99339,1,0.995,0.52146,1.68391,1.39055,2.86742,0.0003632,0.0003632,0.0003632
64,527.645,0.6057,0.80734,0.90791,0.99399,1,0.995,0.51776,1.70239,1.33507,2.83326,0.0003368,0.0003368,0.0003368
65,535.766,0.69212,0.85518,0.94918,0.99399,1,0.995,0.51776,1.70239,1.33507,2.83326,0.0003104,0.0003104,0.0003104
66,543.842,1.17495,1.52689,1.2025,0.99423,1,0.995,0.53333,1.66146,1.27512,2.68691,0.000284,0.000284,0.000284
67,551.82,0.71911,1.28514,0.94596,0.99423,1,0.995,0.53333,1.66146,1.27512,2.68691,0.0002576,0.0002576,0.0002576
68,559.807,0.52603,1.2825,0.85429,0.99427,1,0.995,0.50899,1.59433,1.25689,2.57407,0.0002312,0.0002312,0.0002312
69,567.697,0.76645,1.21201,0.78764,0.99427,1,0.995,0.50899,1.59433,1.25689,2.57407,0.0002048,0.0002048,0.0002048
70,575.753,0.75961,1.27027,1.34724,0.99437,1,0.995,0.53514,1.55325,1.22451,2.49701,0.0001784,0.0001784,0.0001784
71,583.76,0.55452,1.091,0.8541,0.99437,1,0.995,0.53514,1.55325,1.22451,2.49701,0.000152,0.000152,0.000152
72,591.939,0.40323,1.06251,0.71829,0.99484,1,0.995,0.55179,1.52549,1.18612,2.45023,0.0001256,0.0001256,0.0001256
73,600,1.12403,2.60888,1.00704,0.99484,1,0.995,0.55179,1.52549,1.18612,2.45023,9.92e-05,9.92e-05,9.92e-05
74,608.273,1.45974,1.47497,1.40625,0.99488,1,0.995,0.55251,1.54988,1.1867,2.4909,7.28e-05,7.28e-05,7.28e-05
75,616.308,0.6883,1.25521,0.93758,0.99488,1,0.995,0.55251,1.54988,1.1867,2.4909,4.64e-05,4.64e-05,4.64e-05
